src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,Cucumber,4.9,1.23,0,10/07/19,מלפפון
yenot bitan,Cutting Board,11.9,0,2,10/07/19,קרש חיתוך
yenot bitan,Set of 5 plastic bowls,29.9,0,1,10/07/19,סט 5 קערות פלסטיק
yenot bitan,Lemon,8.9,0.935,0,10/07/19,לימון
yenot bitan,Clean Jerusalem Chicken,16.5,0,4,10/07/19,עוף ירושלמי נקי
yenot bitan,Parsley Mehadrin,5.9,0,2,10/07/19,פטרוזליה מהדרין
yenot bitan,Pargit Chicken fresh,69.9,13.074,0,10/07/19,פרגיות עוף טרי
yenot bitan,Red pepper,7.9,0.995,0,10/07/19,פלפל אדום
yenot bitan,Entrecote,150,7.378,0,10/07/19,סטיק אנטריקות
yenot bitan,Bag,0.4,0,4,10/07/19,שקיות
