src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,Avocado,6.9,0.53,0,25/04/19,אבוקדו
rami levi,Green onions,3.6,0,1,25/04/19,בצל ירוק
rami levi,White cheese ski,4.61,0,2,25/04/19,גבינה לבנה סקי
rami levi,Jumex Pineapple juice,7.6,0,1,25/04/19,גומקס מיץ אננס
rami levi,Carrots packed,2.8,1.29,0,25/04/19,גזר ארוז
rami levi,pumpkin,9.9,0.35,0,25/04/19,דלעת
rami levi,Tahina Jerusalem,12.9,0,1,25/04/19,טחינה ירושלים
rami levi,Cucumber,3.9,1.595,0,25/04/19,מלפפון
rami levi,Lily toilet paper,38.9,0,1,25/04/19,נייר טואלט לילי
rami levi,Nectarine,4.8,1.33,0,25/04/19,נקטרינה
rami levi,Vanilla sugar,1.6,0,1,25/04/19,סוכר וניל
rami levi,Tomatoes,1.7,1.93,0,25/04/19,עגבניה
rami levi,Salmon fish,64.9,1.314,,25/04/19,פילה סלמון רמי
rami levi,Cottage 5%,5.8,0,2,25/04/19,קוטג’ 5% שומן
rami levi,Coca Cola Bottle,6.5,0,1,25/04/19,קוקה קולה בקבוק
rami levi,Squash,4.9,0.645,0,25/04/19,קישוא
rami levi,Apple,4.9,0.78,0,25/04/19,תפוח עץ
