src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,Avocado,9.5,1.615,0,05/05/19,אבוקדו
rami levi,Basmati rice,10.9,0,4,05/05/19,אורז בסמטי
rami levi,Peach,9.5,1.395,0,05/05/19,אפרסק
rami levi,Banana,6.8,1.6,0,05/05/19,בננה
rami levi,Jumex Pineapple juice,7.6,0,1,05/05/19,גומקס מיץ אננס
rami levi,Minced chicken,10.9,0,3,05/05/19,הודו טחון עוף
rami levi,Vinegar,5.9,0,1,05/05/19,חומץ
rami levi,eggplant,6,1.285,0,05/05/19,חציל
rami levi, Tic Tac 98gr,12.9,0,1,05/05/19,טיק טק בקבוקון
rami levi,Melon,3.4,2.465,0,05/05/19,מלון
rami levi,Cherry fruit delicacy,8.9,0,1,05/05/19,מעדן פרי דובדבן
rami levi,Apricot,13.9,0.425,0,05/05/19,משמש
rami levi,Hotdog,16.5,0,1,05/05/19,נקנקיות  
rami levi,Lentils in the package,7.9,0,1,05/05/19,עדשים במארז
rami levi,Green grapes,14.7,1.125,0,05/05/19,ענבים ירוקים
rami levi,Mushrooms in a couple,14.9,0,1,05/05/19,פטריות זוגות
rami levi,Fresh garlic,14,0.245,0,05/05/19,שום טרי
rami levi,Dry garlic,3.9,0,1,05/05/19,שום יבש
rami levi,loquat,19.9,0.36,0,05/05/19,שסק
rami levi,Aluminum pans,19.9,0,1,05/05/19,תבניות אחסון ואפיה
rami levi,M&Ms,4.9,0,1,05/05/19,M&M  חטיף
