src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,Peach,9.5,1.395,0,11/07/19,אפרסק
rami levi,Bamba Osem,4.2,0,1,11/07/19,במבה אוסם
rami levi,Banana,7.8,0.6,0,11/07/19,בננה
rami levi,Dry onion,2.18,1.45,0,11/07/19,בצל יבש
rami levi,Halak meat number 5,49.9,2.45,0,11/07/19,בשר חלק מס 5
rami levi,Jumex Pineapple juice,7.6,0,1,11/07/19,גומקס מיץ אננס
rami levi,Tiny carrots,4.9,0.8,0,11/07/19,גזר גמדי
rami levi,Minced chicken,10.9,0,3,11/07/19,הודו טחון עוף
rami levi,Chocolate wafers,2.9,0,1,11/06/19,וופלים בטעם שוקולד
rami levi,Hummus,7.9,0,1,11/06/19,חומוס לפיתה
rami levi,Salty crackers,5.9,0,1,11/06/19,חטיפי קרקר מלוחים
rami levi,Peanut butter,9.9,0,1,11/07/19,חמאת בוטנים
rami levi,eggplant,4.2,1.64,0,11/06/19,חציל
rami levi,Eggplant in mayonnaise,7.9,0,1,11/06/19,חציל במיונז
rami levi,Starkist Tuna,24.8,0,2,14/06/2019,טונה סטארקיסט
rami levi,Lily toilet paper,15.9,0,2,11/03/19,טיק טק בקבוקון
rami levi,Yolo chocolate with whipped cream,3.5,0,3,11/06/19,יולו שוקולד עם קצפת
rami levi,Cauliflower,9.9,0.8,0,11/03/19,כרובית 
rami levi,Waffle case,11.9,0,2,11/06/19,מארז וואפל 640
rami levi,Milka biscuit,9.9,0,1,14/06/2019,מילקה ביסקוויט
rami levi,Milka wafer filling,9.9,0,2,14/06/2019,מילקה וופל במי
rami levi,Melon,3.4,2.465,0,11/06/19,מלון
rami levi,Eight thick maps,9.9,0,1,11/06/19,מפות שמינית עבות
rami levi,Colgate toothpaste,14.9,0,1,14/06/2019,משחת שיניים קולגייט
rami levi,Nectarine,29.9,1.14,0,14/06/2019,נקטרינה
rami levi,Green grapes,14.7,1.125,0,11/03/19,ענבים ירוקים
rami levi,Amnon fish,29.9,1.465,0,11/03/19,פילה אמנון
rami levi,Salmon fish,69.9,1.144,0,11/03/19,פילה סלמון
rami levi,Petiber,10.9,0,1,14/06/2019,פתי בר
rami levi,Coca Cola Bottle,6.5,0,1,11/03/19,קוקה קולה בקבוק 
rami levi,Kinder Egg Surprise Case,13.9,0,1,11/03/19,קינדר ביצת הפתעה מארז 
rami levi,Squash,5.9,2.665,0,11/03/19,קישוא
rami levi,quarter of a lamb Mahfood,74.9,3.83,0,11/03/19,רבע כבש מחפוד
rami levi,Bag,1,0,10,05/06/19,שקיות ידני
rami levi,Aluminum pans,19.9,0,1,05/06/19,תבניות אחסון ואפיה
rami levi,Elite potato chips,9.9,0,1,05/06/19,תפוצ’יפס עלית
rami levi,M&Ms,4.9,0,1,05/06/19,M&M  חטיף
