src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,Salmon fish,69.9,1.436,0,11/06/19, פילה סלמון קפוא
rami levi,Avocado,9.5,3.6,0,11/06/19,אבוקדו
rami levi,Cutted pineapple,3.9,0,2,11/03/19,אננס חתוך
rami levi,Peach,9.5,1.395,0,11/03/19,אפרסק
rami levi,Medium-sized eggs,25.9,0,1,11/06/19,ביצים M
rami levi,Halak meat number 5,49.9,2.45,0,11/03/19,בשר חלק מס 5
rami levi,Jumex Pineapple juice,7.6,0,1,11/06/19,גומקס מיץ אננס
rami levi,Tiny carrots,4.9,0.8,0,11/03/19,גזר גמדי
rami levi,Chocolate wafers,2.9,0,1,11/06/19,וופלים בטעם שוקולד
rami levi,Hummus,7.9,0,1,11/06/19,חומוס לפיתה
rami levi,Salty crackers,5.9,0,1,11/06/19,חטיפי קרקר מלוחים
rami levi,eggplant,4.2,1.64,0,11/06/19,חציל
rami levi,Eggplant in mayonnaise,7.9,0,1,11/06/19,חציל במיונז
rami levi,Lily toilet paper,15.9,0,2,11/03/19,טיק טק בקבוקון
rami levi,Yolo chocolate with whipped cream,3.5,0,3,11/06/19,יולו שוקולד עם קצפת
rami levi,Cauliflower,9.9,0.8,0,11/03/19,כרובית 
rami levi,Waffle case,11.9,0,2,11/06/19,מארז וואפל 640
rami levi,Melon,3.4,2.465,0,11/06/19,מלון
rami levi,Eight thick maps,9.9,0,1,11/06/19,מפות שמינית עבות
rami levi,Apricot,13.9,0.425,0,11/06/19,משמש
rami levi,Light drink oranges,3.8,0,1,11/06/19,משקה קל תפוזים
rami levi,Lemon soda,27.3,0,1,11/06/19,סודה בטעם לימון
rami levi,Rubber candy,9.9,0,1,11/06/19,סוכריות גומי
rami levi,Lentils in the package,7.9,0,1,11/06/19,עדשים במארז
rami levi,Green grapes,14.7,1.125,0,11/06/19,ענבים ירוקים
rami levi,Cracker / conjunctiva,15.5,0,1,11/06/19,קרקר/לחמית
rami levi,Dry garlic,3.7,0,1,11/06/19,שום יבש
rami levi,Delicated beans,21.9,0,1,11/06/19,שעועית עדינה
rami levi,Aluminum pans,19.9,0,1,11/06/19,תבניות אחסון ואפיה
rami levi,M&Ms,4.9,0,1,11/06/19,M&M  חטיף
