src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,Dry onion,2.18,1.45,0,05/06/19,בצל יבש
rami levi,Meat No. 4,32.9,1.02,0,05/06/19,בשר מס 4
rami levi,Raw tahini 1Kg,17.9,0,1,05/06/19,טחינה גולמית 1 קג
rami levi,Yolo Chocolate,3.5,0,3,05/06/19,יולו שוקולד
rami levi,Fresh chicken thighs,24.9,2.114,0,05/06/19,כרעיים עוף טרי
rami levi,Israeli collection,9.9,0,1,05/06/19,לקט ישראלי
rami levi,Waffle case,11.9,0,2,05/06/19,מארז וופל 640
rami levi,Cucumber,1.7,2.03,0,05/06/19,מלפפון
rami levi,Lily toilet paper,38.9,0,1,05/06/19,נייר טואלט לילי
rami levi,Lemon soda,9.9,0,1,05/06/19,סודה בטעם לימון
rami levi,Pin pu candy,9.9,0.35,0,05/06/19,סוכריות פין פו 
rami levi,beet,2.5,1.89,0,05/06/19,סלק אדום
rami levi,Tomatoes,1.7,2.535,0,05/06/19,עגבניה
rami levi,Lentils in the package,7.9,0,1,05/06/19,עדשים במארז
rami levi,Green grapes,16.7,1.23,0,05/06/19,ענבים ירוקים
rami levi,Amnon fish,29.9,1.465,0,05/06/19,פילה אמנון
rami levi,Salmon fish,69.9,1.144,0,05/06/19,פילה סלמון
rami levi,Coca Cola Bottle,6.5,0,1,05/06/19,קוקה קולה בקבוק 
rami levi,Kinder Egg Surprise Case,13.9,0,1,05/06/19,קינדר ביצת הפתעה מארז 
rami levi,Squash,5.9,2.665,0,05/06/19,קישוא
rami levi,quarter of a lamb Mahfood,74.9,3.83,0,05/06/19,רבע כבש מחפוד
rami levi,Green beans,19.9,0,1,05/06/19,שעועית ירוקה 
rami levi,Delicated beans,21.9,0,1,05/06/19,שעועית עדינה
rami levi,Bag,1,0,10,05/06/19,שקיות ידני
rami levi,Aluminum pans,19.9,0,1,05/06/19,תבניות אחסון ואפיה
rami levi,Elite potato chips,9.9,0,1,05/06/19,תפוצ’יפס עלית
rami levi,M&Ms,4.9,0,1,05/06/19,M&M  חטיף
