src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,Cheese burkas,19.9,0,1,11/08/19,בורקס פילו גבינה
yenot bitan,Fresh frozen basil,10,0,1,11/08/19,בזיליקום טרי קפוא
yenot bitan,Carrots packed,3.9,1.29,0,11/08/19,גזר ארוז
yenot bitan,Danone Bio package,16.5,0,1,11/08/19,דנונה ביו מארז
yenot bitan,Danone Pro 20g,5.9,0,2,11/08/19,דנונה פרו 20 גרם
yenot bitan,Quince,12.9,0.55,0,11/08/19,חבושים
yenot bitan,Milk in a bag 3%,5,0,1,11/08/19,חלב בשקית 3%
yenot bitan,eggplant,5.9,0.795,0,11/08/19,חצילים
yenot bitan,Tasters' Weiss (Coffee),35.9,0,1,11/08/19,טייסטרס ל’וייס (קפה)
yenot bitan,Muller Yogurt,4.9,0,2,11/08/19,יוגורט מולר
yenot bitan,Cumin minced Mymon,5.9,0,1,11/08/19,כמון טחון מימון
yenot bitan,Spoons 100 units,5.9,0,2,11/08/19,כפיות 100 יחידות
yenot bitan,Fresh chicken thighs,27.9,1.234,0,11/08/19,כרעיים עוף טרי
yenot bitan,M.LSR eggs L,11.3,0,1,11/08/19,מ.לסר ביצים L
yenot bitan,M.LSR eggs M,10.4,0,1,11/08/19,מ.לסר ביצים M
yenot bitan,Tatch towels ,9.9,0,2,11/08/19,מגבות טאצ שישיה
yenot bitan,Cucumber,3.9,0.935,0,11/08/19,מלפפונים
yenot bitan,Colgate toothpaste,18.9,0,1,11/08/19,משחת שניים קולגייט
yenot bitan,beet,3.9,0.55,0,11/08/19,סלק
yenot bitan,Tomatoes,3.9,1.37,0,11/08/19,עגבניות
yenot bitan,Ztemed Hemed mushrooms,14.9,0,1,11/08/19,פטריות צמד חמד
yenot bitan,Amnon fish,31.9,0.925,0,11/08/19,פילה אמנון קפוא
yenot bitan,Sliced tuna fillet,42.9,0.973,0,11/08/19,פילה טונה פרוס
yenot bitan,Veal fillet,72.45,1.452,0,11/08/19,פילה מדומה עגל
yenot bitan,Salmon fish,89.9,0.67,1,11/08/19,פילה סלמון טרי
yenot bitan,Salmon fish,69.9,0.869,0,11/08/19,פילה סלמון קפוא
yenot bitan,Red pepper,9.9,0.55,0,11/08/19,פלפל אדום
yenot bitan,Cottage 3% Tnuva,5.5,0,1,11/08/19,קוטג’ תנובה 3%
yenot bitan,Colorby,4.9,0.66,0,11/08/19,קולורבי
yenot bitan,White Chef whipped cream,13.9,0,1,11/08/19,קצפת השף הלבן
yenot bitan,Dry garlic,6.9,0,1,11/08/19,שום ארוז
yenot bitan,Creamy white chef,8.2,0,1,11/08/19,שמנת השף הלבן
yenot bitan,Green beans,19.9,0,1,11/08/19,שעועית שלמה
yenot bitan,Cherry tomatoes,4.9,0.505,0,11/08/19,שרי אשכולות
yenot bitan,grape juice,13.6,0,1,11/08/19,תירוש
yenot bitan,White potato,2.9,1.28,0,11/08/19,תפוח אדמה 
