src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,Banana,4.9,1.05,0,20/06/19,בננה מובחרת
yenot bitan,Bag,0.1,0,3,20/06/19,שקיות
yenot bitan,Potato burkas,19.9,0,1,20/06/19,בורקס פילו תפוח אדמה
yenot bitan,Cheese burkas,19.9,0,1,20/06/19,בורקס פילו גבינה
yenot bitan,Red pepper,9.9,0.5,0,20/06/19,פלפל אדום
yenot bitan,M.LSR eggs L,11.3,0,1,20/06/19,מ.לסר ביצים L
yenot bitan,Squash,5.9,0.53,0,20/06/19,קישואים
yenot bitan,Butter flavored margarine,5.9,0,2,20/06/19,מרגרינה בטעם חמאה
yenot bitan,Salmon fish,89.9,0.895,0,20/06/19,נתח פילה סלמון טרי
yenot bitan,Corn seeds,5,0,1,20/06/19,גרעיני תירס צעירים
yenot bitan,Cherry tomatoes,6.9,0,1,20/06/19,עגבניות שרי
yenot bitan,Green grapes,14,1.145,0,20/06/19,ענב לבן
yenot bitan,beet,3.9,0.905,0,20/06/19,סלק
yenot bitan,Avocado,19.9,1.21,0,20/06/19,אבוקדו מובחר
yenot bitan,Watermelon,2.9,9.475,0,20/06/19,אבטיח
