src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,1/10 baking powder,1.8,0,1,22/03/19,1/10 אבקת אפיה
yenot bitan,Cheese burkas,19.9,0,1,22/03/19,בורקס פילו גבינה
yenot bitan,Fresh frozen basil,10,0,1,22/03/19,בזיליקום טרי קפוא
yenot bitan,Dry onion,2.9,1.575,0,22/03/19,בצל יבש
yenot bitan,Carrots packed,3.9,1.29,0,22/03/19,גזר ארוז
yenot bitan,Danone Pro 20g,5.9,0,4,22/03/19,דנונה פרו 20 דרם
yenot bitan,Quince,12.9,0.55,0,22/03/19,חבושים
yenot bitan,Milk in a bag 3%,5,0,1,22/03/19,חלב בשקית 3%
yenot bitan,Tasters' Weiss (Coffee),35.9,0,1,22/03/19,טייסטרס ל’וייס (קפה)
yenot bitan,Muller Yogurt,4.9,0,2,22/03/19,יוגורט מולר
yenot bitan,Cumin minced Mymon,5.9,0,1,22/03/19,כמון טחון מימון
yenot bitan,Lemon,8.9,0.935,0,22/03/19,לימון
yenot bitan,M.LSR eggs L,11.3,0,1,22/03/19,מ.לסר ביצים L
yenot bitan,Tatch towels,9.9,0,2,22/03/19,מגבות טאצ שישיה
yenot bitan,Half a liter of water,2.6,0,1,22/03/19,מי עדן חצי ליטר
yenot bitan,Mix frozen berries,10,0,1,22/03/19,מיקס פרות יער קפוא
yenot bitan,Cucumber,3.9,0.935,0,22/03/19,מלפפונים
yenot bitan,Pepper spread,14.9,0,1,22/03/19,ממרח פלפל
yenot bitan,Colgate toothpaste,18.9,0,1,22/03/19,משחת שניים קולגייט
yenot bitan,Nicole absorbent paper,17.9,0,1,22/03/19,נייר סופג ניקול
yenot bitan,Vanilla sugar,2.2,0,1,22/03/19,סוגת סוכר וניל
yenot bitan,Natural soybean Tnuva,10.9,0,1,22/03/19,סויה תנובה טבעי
yenot bitan,Sugat 1 kg sugar,3.9,0,1,22/03/19,סוכר סוגת 1 קג
yenot bitan,Entrecote,150,7.378,0,22/03/19,סטיק אנטריקות
yenot bitan,beet,3.9,0.55,0,22/03/19,סלק
yenot bitan,Spring grapefruit diet,6.5,0,1,22/03/19,ספרינג דיאט אשקולית
yenot bitan,Tomatoes,3.9,1.115,0,22/03/19,עגבניות
yenot bitan,Clean Jerusalem Chicken,16.5,0,4,22/03/19,עוף ירושלמי נקי
yenot bitan,Parsley Mehadrin,5.9,0,2,22/03/19,פטרוזליה מהדרין
yenot bitan,Amnon fish,31.9,0.925,0,22/03/19,פילה אמנון קפוא
yenot bitan,Salmon fish,69.9,0.869,0,22/03/19,פילה סלמון קפוא
yenot bitan,Red pepper,9.9,0.51,0,22/03/19,פלפל אדום
yenot bitan,Pargit Chicken fresh,69.9,13.074,0,22/03/19,פרגיות עוף טרי
yenot bitan,Cottage Tnuva 1%,5.5,0,1,22/03/19,קוטג’ תנובה 1%
yenot bitan,Cottage 3% Tnuva,5.5,0,1,22/03/19,קוטג’ תנובה 3%
yenot bitan,Caffeine-free kola zero,7.6,0,1,22/03/19,קולה זירו נטול קפאין
yenot bitan,Colorby,4.9,0.66,0,22/03/19,קולורבי
yenot bitan,Swelled flour without sifting,8.9,0,1,22/03/19,קמח תופח ללא צורך בניפוי
yenot bitan,White Chef whipped cream,13.9,0,1,22/03/19,קצפת השף הלבן
yenot bitan,Dry garlic,6.9,0,1,22/03/19,שום ארוז
yenot bitan,Creamy white chef,8.2,0,1,22/03/19,שמנת השף הלבן
yenot bitan,Bag,0.1,0,2,22/03/19,שקיות
yenot bitan,White potato,2.9,1.28,0,22/03/19,תפוח אדמה 
