src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,Romanian bagel,5.9,0,1,23/06/19,בייגל רומני
rami levi,Vinegar,5.9,0,1,23/06/19,חומץ
rami levi,eggplant,6,1.285,0,23/06/19,חציל
rami levi, Tic Tac 98gr,12.9,0,1,23/06/19,טיק טק בקבוקון
rami levi,Master Chef mayonnaise,11.9,0,1,23/06/19,מאסטר שף מיונז 
rami levi,Melon,3.4,2.465,0,23/06/19,מלון
rami levi,Cherry fruit delicacy,8.9,0,1,23/06/19,מעדן פרי דובדבן
rami levi,Apricot,13.9,0.425,0,23/06/19,משמש
rami levi,Curls sausage Titat Zvi,12.8,0,1,23/06/19,נקניק סלסולים טירת צבי
rami levi,Hotdog,16.5,0,1,23/06/19,נקנקיות  
rami levi,Lentils in the package,7.9,0,1,23/06/19,עדשים במארז
rami levi,Chocolate network cookies,11.9,0,1,23/06/19,עוגיות רשת שוקולד
rami levi,Green grapes,14.7,1.125,0,23/06/19,ענבים ירוקים
rami levi,Mushrooms in a couple,14.9,0,1,23/06/19,פטריות זוגות
rami levi,Fresh garlic,14,0.245,0,23/06/19,שום טרי
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,, ,,
