src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
rami levi,White potato,2.4,3.895,0,14/06/2019,תפוח אדמה לבן
rami levi,Maxima laundry detergent,19.9,0,1,14/06/2019,אבקת כביסה מקסימה
rami levi,Milka wafer filling,9.9,0,2,14/06/2019,מילקה וופל במי
rami levi,Milka biscuit,9.9,0,1,14/06/2019,מילקה ביסקוויט
rami levi,Petiber,10.9,0,1,14/06/2019,פתי בר
rami levi,Nectarine,29.9,1.14,0,14/06/2019,נקטרינה
rami levi,Starkist Tuna,24.8,0,2,14/06/2019,טונה סטארקיסט
rami levi,Colgate toothpaste,14.9,0,1,14/06/2019,משחת שיניים קולגייט
rami levi,Mini white baguette,12.5,0,1,14/06/2019,מיני באגט לבן
rami levi,Yolo Chocolate,3.5,0,3,14/06/2019,יולו שוקולד 
rami levi,Milky layers,3.5,0,2,14/06/2019,מילקי שכבות
rami levi,Surprise Drink,7.9,0,2,14/06/2019,סופרייז דרינק
rami levi,Pack of whipped cream,7.5,0,1,14/06/2019,מארז מילקי קצפת
rami levi,Unkernelized green olives,8.9,0,2,14/06/2019,זית חרוזית ירוק
rami levi,Shlukim,3.9,0,3,14/06/2019,שלוקים
rami levi,Lemon,6.8,1.295,0,14/06/2019,לימון
rami levi,Bag,0.4,0,4,14/06/2019,שקיות ידני
