src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,Cheese burkas,19.9,0,1,28/07/19,בורקס פילו גבינה
yenot bitan,Dry onion,2.9,1.575,0,28/07/19,בצל יבש
yenot bitan,Carrots packed,3.9,1.29,0,28/07/19,גזר ארוז
yenot bitan,Milk in a bag 3%,5,0,1,28/07/19,חלב בשקית 3%
yenot bitan,eggplant,5.9,0.795,0,28/07/19,חצילים
yenot bitan,Tasters' Weiss (Coffee),35.9,0,1,28/07/19,טייסטרס ל’וייס (קפה)
yenot bitan,Muller Yogurt,4.9,0,2,28/07/19,יוגורט מולר
yenot bitan,Cumin minced Mymon,5.9,0,1,28/07/19,כמון טחון מימון
yenot bitan,Fresh chicken thighs,27.9,1.169,0,28/07/19,כרעיים עוף טרי
yenot bitan,M.LSR eggs L,11.3,0,1,28/07/19,מ.לסר ביצים L
yenot bitan,Half a liter of water,2.6,0,1,28/07/19,מי עדן חצי ליטר
yenot bitan,Cucumber,3.9,0.935,0,28/07/19,מלפפונים
yenot bitan,Sugat 1 kg sugar,3.9,0,1,28/07/19,סוכר סוגת 1 קג
yenot bitan,beet,3.9,0.55,0,28/07/19,סלק
yenot bitan,Tomatoes,3.9,1.37,0,28/07/19,עגבניות
yenot bitan,Veal fillet,72.45,1.452,0,28/07/19,פילה מדומה עגל
yenot bitan,Salmon fish,69.9,0.869,0,28/07/19,פילה סלמון קפוא
yenot bitan,Colorby,4.9,0.66,0,28/07/19,קולורבי
yenot bitan,Pantan moisturizer,14.9,0,1,28/07/19,קרם לחות פאנטן
yenot bitan,Dry garlic,6.9,0,1,28/07/19,שום ארוז
yenot bitan,grape juice,13.6,0,1,28/07/19,תירוש
yenot bitan,White potato,2.9,1.28,0,28/07/19,תפוח אדמה 
