src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,Fuze Tea Lemon,7.3,0,1,26/06/19,פיוז טי לימון
yenot bitan,Caffeine-free kola zero,6.7,0,1,26/06/19,קולה זירו נטול קפאין
yenot bitan,Light Eynat bread,12.9,0,1,26/06/19,לחם עינן קל
yenot bitan,Berman Bread,15.5,0,1,26/06/19,לחם ברמן
yenot bitan,Spoons 100 units,5.9,0,2,26/06/19,כפיות 100 יחידות
yenot bitan,Creamy white chef,8.2,0,1,26/06/19,שמנת השף הלבן
yenot bitan,Cottage 3% Tnuva,5.5,0,1,26/06/19,קוטג’ תנובה 3%
yenot bitan,Colgate toothpaste,18.9,0,1,26/06/19,משחת שניים קולגייט
yenot bitan,White Chef whipped cream,13.9,0,1,26/06/19,קצפת השף הלבן
yenot bitan,Danone Pro 20g,5.9,0,2,26/06/19,דנונה פרו 20 גרם
yenot bitan,Amnon fish,31.9,0.925,0,26/06/19,פילה אמנון קפוא
yenot bitan,Ztemed Hemed mushrooms,14.9,0,1,26/06/19,פטריות צמד חמד
yenot bitan,Danone Bio package,16.5,0,1,26/06/19,דנונה ביו מארז
yenot bitan,Salmon fish,89.9,0.67,1,26/06/19,פילה סלמון טרי
yenot bitan,Tatch towels ,9.9,0,2,26/06/19,מגבות טאצ שישיה
yenot bitan,Quince,12.9,0.55,0,26/06/19,חבושים
yenot bitan,Red pepper,9.9,0.55,0,26/06/19,פלפל אדום
yenot bitan,Cherry tomatoes,4.9,0.505,0,26/06/19,שרי אשכולות
yenot bitan,Fresh frozen basil,10,0,1,26/06/19,בזיליקום טרי קפוא
yenot bitan,Homemade pesto spread,11.9,0,1,26/06/19,רוטב פסטו דורות
yenot bitan,Tomatoes,2.9,1.86,0,26/06/19,עגבניות
yenot bitan,Green beans,9.9,0,2,26/06/19,שעועית ירוקה
yenot bitan,Colorby,6.9,0.59,0,26/06/19,קולורבי
yenot bitan,Cucumber,5.9,0.585,0,26/06/19,מלפפונים
yenot bitan,Dry onion,2.9,1.575,0,26/06/19,בצל יבש
yenot bitan,Sugat 1 kg sugar,3.9,0,1,26/06/19,סוכר סוגת 1 קג
yenot bitan,Half a liter of water,2.6,0,1,26/06/19,מי עדן חצי ליטר
yenot bitan,Pantan moisturizer,14.9,0,1,26/06/19,קרם לחות פאנטן
yenot bitan,M.LSR eggs L,11.3,0,1,26/06/19,מ.לסר ביצים L
yenot bitan,Fresh chicken thighs,27.9,1.169,0,26/06/19,כרעיים עוף טרי
yenot bitan,Pargit Chicken fresh,69.9,1.266,0,26/06/19,פרגיות עוף טרי
yenot bitan,Fresh chicken schnitzel,36.9,1.566,0,26/06/19,שניצל עוף טרי
yenot bitan,Bag,0.1,0,8,26/06/19,שקיות
