src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,1/10 baking powder,1.8,0,1,02/07/19,1/10 אבקת אפיה
yenot bitan,Fresh frozen basil,10,0,1,02/07/19,בזיליקום טרי קפוא
yenot bitan,Dry onion,2.9,1.575,0,02/07/19,בצל יבש
yenot bitan,Quince,12.9,0.55,0,02/07/19,חבושים
yenot bitan,M.LSR eggs L,11.3,0,1,02/07/19,מ.לסר ביצים L
yenot bitan,Tatch towels ,9.9,0,2,02/07/19,מגבות טאצ שישיה
yenot bitan,Half a liter of water,2.6,0,1,02/07/19,מי עדן חצי ליטר
yenot bitan,Cucumber,5.9,0.585,0,02/07/19,מלפפונים
yenot bitan,Vanilla sugar,2.2,0,1,02/07/19,סוגת סוכר וניל
yenot bitan,Sugat 1 kg sugar,3.9,0,1,02/07/19,סוכר סוגת 1 קג
yenot bitan,Tomatoes,2.9,1.86,0,02/07/19,עגבניות
yenot bitan,Salmon fish,89.9,0.67,1,02/07/19,פילה סלמון טרי
yenot bitan,Red pepper,9.9,0.55,0,02/07/19,פלפל אדום
yenot bitan,Colorby,6.9,0.59,0,02/07/19,קולורבי
yenot bitan,Rye flour without yeast,8.9,0,1,02/07/19,קמח שיפון ללא שמרים
yenot bitan,Swelled flour without sifting,8.9,0,1,02/07/19,קמח תופח ללא צורך בניפוי
yenot bitan,Pantan moisturizer,14.9,0,1,02/07/19,קרם לחות פאנטן
yenot bitan,Homemade pesto spread,11.9,0,1,02/07/19,רוטב פסטו דורות
yenot bitan,Sesame,3.9,0.1,0,02/07/19,שומשום 
yenot bitan,Green beans,9.9,0,2,02/07/19,שעועית ירוקה
yenot bitan,Bag,0.1,0,1,02/07/19,שקיות
yenot bitan,Cherry tomatoes,4.9,0.505,0,02/07/19,שרי אשכולות
