src,item_name,price_for_UNIT/KG,amount_KG,amount_UNIT,date,hebrew_name
yenot bitan,k-500,20.9,0,1,12/06/19,k-500
yenot bitan,M.LSR eggs L,11.3,0,2,12/06/19,מ.לסר ביצים l
yenot bitan,Mehadrin Coriander,5.9,0,3,12/06/19,כוסברה מהדרין
yenot bitan,Mehadrin lettuce,6.9,0,1,12/06/19,חסה מהדרין
yenot bitan,Removes tartar Dorgol,19.9,0,1,12/06/19,מסיר אבנית דורגול
yenot bitan,Gel Toilet Duck,9.9,0,3,12/06/19,ג’ל אסלה דאק
yenot bitan,Caffeine-free kola zero,6.7,0,2,12/06/19,קולה זירו נטול קפאין
yenot bitan,Bag,0.1,0,9,12/06/19,שקיות 
yenot bitan,White flour without sifting,7.9,0,2,12/06/19,קמח לבן ללא ניפוי
yenot bitan,Cow chocolate packaging,20.9,0,1,12/06/19,מאגדת שוקולד פרה
yenot bitan,Lily toilet paper,15.9,0,1,12/06/19,נייר טואלט לילי
yenot bitan,Cocoa Elite 150g,10,0,1,12/06/19,עלית קקאו 150 גרם
yenot bitan,General Cleaner I'm Calc,16.9,0,1,12/06/19,מנקה כללי אני קאלק
yenot bitan,Sweet chilli sauce,10,0,1,12/06/19,רוטב צ’ילי מתוק
yenot bitan,Ztemed Hemed mushrooms,14.9,0,1,12/06/19,פטריות צמד חמד
yenot bitan,Nicole cloths,19.9,0,1,12/06/19,ניקול מטליות
yenot bitan,Oil amd liter,6.9,0,1,12/06/19,שמן amd ליטר
yenot bitan,Tahina Jerusalem,13.9,0,1,12/06/19,טחינה ירושלים
yenot bitan,Spicy arisa spread,14.9,0,1,12/06/19,ממרח אריסה חריף
yenot bitan,Real minz,13.9,0,1,12/06/19,מינז אמיתי
yenot bitan,Homemade pesto spread,17.9,0,1,12/06/19,ממרח פסטו ביתי
yenot bitan,Pepper spread,14.9,0,1,12/06/19,ממרח פלפל
yenot bitan,Mix frozen berries,10,0,1,12/06/19,מיקס פרות יער קפוא
yenot bitan,Nicole absorbent paper,17.9,0,1,12/06/19,נייר סופג ניקול
yenot bitan,Cottage Tnuva 1%,5.5,0,1,12/06/19,קוטג’ תנובה 1%
yenot bitan,Danone Pro 20g,5.9,0,4,12/06/19,דנונה פרו 20 דרם
yenot bitan,Cheese burkas,19.9,0,1,12/06/19,בורקס פילו גבינה
yenot bitan,Cumin minced Mymon,5.9,0,1,12/06/19,כמון טחון מימון
yenot bitan,Muller Yogurt,4.9,0,2,12/06/19,יוגורט מולר
yenot bitan,White potato,2.9,1.28,0,12/06/19,תפוח אדמה 
yenot bitan,Tasters' Weiss (Coffee),35.9,0,1,12/06/19,טייסטרס ל’וייס (קפה)
yenot bitan,Carrots packed,3.9,1.29,0,12/06/19,גזר ארוז
yenot bitan,beet,3.9,0.55,0,12/06/19,סלק
yenot bitan,Dry garlic,6.9,0,1,12/06/19,שום ארוז
yenot bitan,Salmon fish,69.9,0.869,0,12/06/19,פילה סלמון קפוא
yenot bitan,Milk in a bag 3%,5,0,1,12/06/19,חלב בשקית 3%
yenot bitan,Colorby,4.9,0.66,0,12/06/19,קולורבי
yenot bitan,Cucumber,3.9,0.935,0,12/06/19,מלפפונים
yenot bitan,Tomatoes,3.9,1.37,0,12/06/19,עגבניות
yenot bitan,eggplant,5.9,0.795,0,12/06/19,חצילים
yenot bitan,grape juice,13.6,0,1,12/06/19,תירוש
yenot bitan,Veal fillet,72.45,1.452,0,12/06/19,פילה מדומה עגל
yenot bitan,Fresh chicken thighs,27.9,1.234,0,12/06/19,כרעיים עוף טרי
